POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1st For Women,Topaz,22,Days,28,Days,55,64,147.26,279.8,294.53,99.96,189.92,199.92,86.57,164.49,173.15,81.22,154.31,162.44,,,
1st For Women,Topaz,29,Days,35,Days,55,64,170.47,323.89,340.94,124.06,235.71,248.12,93.71,178.05,187.43,88.36,167.88,176.72,,,
1st For Women,Topaz,36,Days,42,Days,55,64,215.99,410.37,431.97,145.48,276.41,290.96,119.6,227.23,239.19,98.18,186.53,196.35,,,
1st For Women,Topaz,43,Days,62,Days,55,64,227.59,432.42,455.18,176.72,335.76,353.43,156.19,296.76,312.38,123.17,234.01,246.33,,,
1st For Women,Topaz,63,Days,92,Days,55,64,298.99,568.08,597.98,212.42,403.59,424.83,200.81,381.54,401.63,166.01,315.41,332.01,,,
1st For Women,Topaz,93,Days,123,Days,55,64,373.07,708.82,746.13,250.79,476.51,501.59,224.91,427.33,449.82,195.46,371.37,390.92,,,
1st For Women,Topaz,124,Days,153,Days,55,64,444.47,844.48,888.93,289.17,549.42,578.34,245.44,466.33,490.88,233.84,444.29,467.67,,,
1st For Women,Topaz,154,Days,184,Days,55,64,510.51,969.97,1021.02,330.23,627.43,660.45,301.67,573.16,603.33,255.26,484.98,510.51,,,
1st For Women,Topaz,185,Days,215,Days,55,64,555.14,1054.76,1110.27,391.81,744.43,783.62,322.19,612.17,644.39,269.54,512.12,539.07,,,
1st For Women,Topaz,216,Days,245,Days,55,64,622.97,1183.63,1245.93,437.33,830.92,874.65,344.51,654.56,689.01,285.6,542.64,571.2,,,
1st For Women,Topaz,246,Days,276,Days,55,64,661.34,1256.55,1322.69,458.75,871.62,917.49,379.31,720.69,758.63,316.84,601.99,633.68,,,
1st For Women,Topaz,277,Days,306,Days,55,64,716.68,1361.69,1433.36,499.8,949.62,999.6,408.77,776.65,817.53,339.15,644.39,678.3,,,
1st For Women,Topaz,307,Days,337,Days,55,64,763.09,1449.87,1526.18,531.93,1010.67,1063.86,435.54,827.53,871.08,368.6,700.34,737.21,,,
1st For Women,Topaz,338,Days,366,Days,55,64,829.13,1575.35,1658.27,565.85,1075.11,1131.69,466.78,886.88,933.56,398.06,756.3,796.11,,,
1st For Women,Topaz,1,Days,5,Days,65,74,82.88,157.46,165.75,63.75,121.13,127.5,56.1,106.59,112.2,47.18,89.63,94.35,,,
1st For Women,Topaz,6,Days,7,Days,65,74,93.08,176.84,186.15,70.13,133.24,140.25,61.2,116.28,122.4,51,96.9,102,,,
1st For Women,Topaz,8,Days,14,Days,65,74,118.58,225.29,237.15,91.8,174.42,183.6,79.05,150.2,158.1,71.4,135.66,142.8,,,
1st For Women,Topaz,15,Days,21,Days,65,74,167.03,317.35,334.05,122.4,232.56,244.8,102,193.8,204,96.9,184.11,193.8,,,
1st For Women,Topaz,22,Days,28,Days,65,74,210.38,399.71,420.75,142.8,271.32,285.6,123.68,234.98,247.35,116.03,220.45,232.05,,,
1st For Women,Topaz,29,Days,35,Days,65,74,243.53,462.7,487.05,177.23,336.73,354.45,133.88,254.36,267.75,126.23,239.83,252.45,,,
1st For Women,Topaz,36,Days,42,Days,65,74,308.55,586.25,617.1,207.83,394.87,415.65,170.85,324.62,341.7,140.25,266.48,280.5,,,
1st For Women,Topaz,43,Days,62,Days,65,74,325.13,617.74,650.25,252.45,479.66,504.9,223.13,423.94,446.25,175.95,334.31,351.9,,,
1st For Women,Topaz,63,Days,92,Days,65,74,427.13,811.54,854.25,303.45,576.56,606.9,286.88,545.06,573.75,237.15,450.59,474.3,,,
1st For Women,Topaz,93,Days,123,Days,65,74,532.95,1012.61,1065.9,358.28,680.72,716.55,321.3,610.47,642.6,279.23,530.53,558.45,,,
1st For Women,Topaz,124,Days,153,Days,65,74,634.95,1206.41,1269.9,413.1,784.89,826.2,350.63,666.19,701.25,334.05,634.7,668.1,,,
1st For Women,Topaz,154,Days,184,Days,65,74,729.3,1385.67,1458.6,471.75,896.33,943.5,430.95,818.81,861.9,364.65,692.84,729.3,,,
1st For Women,Topaz,185,Days,215,Days,65,74,793.05,1506.8,1586.1,559.73,1063.48,1119.45,460.28,874.52,920.55,385.05,731.6,770.1,,,
1st For Women,Topaz,216,Days,245,Days,65,74,889.95,1690.91,1779.9,624.75,1187.03,1249.5,492.15,935.09,984.3,408,775.2,816,,,
1st For Women,Topaz,246,Days,276,Days,65,74,944.78,1795.07,1889.55,655.35,1245.17,1310.7,541.88,1029.56,1083.75,452.63,859.99,905.25,,,
1st For Women,Topaz,277,Days,306,Days,65,74,1023.83,1945.27,2047.65,714,1356.6,1428,583.95,1109.51,1167.9,484.5,920.55,969,,,
1st For Women,Topaz,307,Days,337,Days,65,74,1090.13,2071.24,2180.25,759.9,1443.81,1519.8,622.2,1182.18,1244.4,526.58,1000.49,1053.15,,,
1st For Women,Topaz,338,Days,366,Days,65,74,1184.48,2250.5,2368.95,808.35,1535.87,1616.7,666.83,1266.97,1333.65,568.65,1080.44,1137.3,,,
1st For Women,Australia Diamond,367,Days,5,Days,16,54,,,,,,,,,,,,,39.95,75.91,79.9
