POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Webjet,Comprehensive Cover,154,Days,184,Days,16,75,666.62,1266.58,1333.24,526.79,1000.91,1053.59,468.26,889.7,936.52,386.32,734,772.63,,,,,,,,,
Webjet,Comprehensive Cover,185,Days,215,Days,16,75,742.61,1410.96,1485.22,586.84,1115,1173.69,521.64,991.11,1043.28,430.35,817.67,860.7,,,,,,,,,
Webjet,Comprehensive Cover,216,Days,245,Days,16,75,814.03,1546.65,1628.06,643.28,1222.23,1286.56,571.81,1086.43,1143.61,471.74,896.3,943.48,,,,,,,,,
Webjet,Comprehensive Cover,246,Days,276,Days,16,75,878.23,1668.63,1756.45,694.01,1318.62,1388.02,616.9,1172.11,1233.8,508.94,966.99,1017.88,,,,,,,,,
Webjet,Comprehensive Cover,277,Days,306,Days,16,75,933.48,1773.61,1866.96,737.67,1401.58,1475.35,655.71,1245.85,1311.42,540.96,1027.83,1081.92,,,,,,,,,
Webjet,Comprehensive Cover,307,Days,337,Days,16,75,983.47,1868.59,1966.94,777.18,1476.64,1554.36,690.83,1312.57,1381.65,569.93,1082.87,1139.86,,,,,,,,,
Webjet,Comprehensive Cover,338,Days,366,Days,16,75,1024.97,1947.44,2049.94,809.98,1538.96,1619.95,719.98,1367.96,1439.96,593.98,1128.57,1187.97,,,,,,,,,
Webjet,Essentials,1,Days,3,Days,16,75,64.33,122.23,128.66,50.84,96.6,101.68,45.19,85.86,90.38,37.28,70.83,74.56,,,,,,,,,
Webjet,Essentials,4,Days,4,Days,16,75,67.86,128.93,135.72,53.62,101.88,107.24,47.67,90.57,95.34,39.32,74.71,78.64,,,,,,,,,
Webjet,Essentials,5,Days,5,Days,16,75,71.38,135.62,142.76,56.41,107.18,112.82,50.14,95.27,100.28,41.37,78.6,82.74,,,,,,,,,
Webjet,Essentials,6,Days,6,Days,16,75,74.89,142.29,149.78,59.18,112.44,118.36,52.61,99.96,105.22,43.4,82.46,86.8,,,,,,,,,
Webjet,Essentials,7,Days,7,Days,16,75,78.4,148.96,156.8,61.96,117.72,123.92,55.07,104.63,110.14,45.44,86.34,90.88,,,,,,,,,
Webjet,Essentials,8,Days,8,Days,16,75,81.9,155.61,163.8,64.72,122.97,129.44,57.53,109.31,115.06,47.46,90.17,94.92,,,,,,,,,
