POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Fast Cover,Comprehensive Snow,338,Days,366,Days,16,59,1046,1987.4,2092,903.3,1716.3,1806.6,836.9,1590.1,1673.8,702.5,1334.8,1405,,,
Fast Cover,Domestic,1,Days,5,Days,16,59,,,,,,,,,,,,,36.3,69,72.6
Fast Cover,Domestic,6,Days,8,Days,16,59,,,,,,,,,,,,,40.6,77.1,81.2
Fast Cover,Domestic,9,Days,12,Days,16,59,,,,,,,,,,,,,49.4,93.9,98.8
Fast Cover,Domestic,13,Days,15,Days,16,59,,,,,,,,,,,,,53.7,102,107.4
Fast Cover,Domestic,16,Days,18,Days,16,59,,,,,,,,,,,,,58.1,110.4,116.2
Fast Cover,Domestic,19,Days,21,Days,16,59,,,,,,,,,,,,,63.9,121.4,127.8
Fast Cover,Domestic,22,Days,24,Days,16,59,,,,,,,,,,,,,66.6,126.5,133.2
Fast Cover,Domestic,25,Days,28,Days,16,59,,,,,,,,,,,,,76.2,144.8,152.4
Fast Cover,Domestic,29,Days,32,Days,16,59,,,,,,,,,,,,,81.7,155.2,163.4
Fast Cover,Domestic,33,Days,35,Days,16,59,,,,,,,,,,,,,86.4,164.2,172.8
Fast Cover,Domestic,36,Days,40,Days,16,59,,,,,,,,,,,,,89.8,170.6,179.6
Fast Cover,Domestic,41,Days,45,Days,16,59,,,,,,,,,,,,,101.6,193,203.2
Fast Cover,Domestic,46,Days,54,Days,16,59,,,,,,,,,,,,,106.8,202.9,213.6
Fast Cover,Domestic,55,Days,62,Days,16,59,,,,,,,,,,,,,116.1,220.6,232.2
Fast Cover,Domestic,63,Days,92,Days,16,59,,,,,,,,,,,,,152.4,289.6,304.8
Fast Cover,Domestic,1,Days,5,Days,60,69,,,,,,,,,,,,,43.5,82.7,87
Fast Cover,Domestic,6,Days,8,Days,60,69,,,,,,,,,,,,,48.8,92.7,97.6
