POLICY,POLICY,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER ME,INSURER NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,23,days,23,days,60,69,101.18,202.37,202.37,81.65,163.3,163.3,69.79,139.57,139.57,53.74,107.48,107.48,50.25,100.49,100.49,59.14,118.27,118.27
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,24,days,24,days,60,69,103.99,207.97,207.97,83.68,167.36,167.36,71.18,142.37,142.37,54.43,108.87,108.87,51.64,103.28,103.28,60.78,121.56,121.56
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,25,days,25,days,60,69,106.08,212.15,212.15,85.74,171.48,171.48,73.27,146.55,146.55,55.83,111.66,111.66,52.35,104.69,104.69,61.61,123.22,123.22
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,26,days,26,days,60,69,108.17,216.33,216.33,87.77,175.54,175.54,73.98,147.95,147.95,57.23,114.46,114.46,54.43,108.87,108.87,64.07,128.14,128.14
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,27,days,27,days,60,69,110.27,220.53,220.53,89.81,179.62,179.62,76.07,152.13,152.13,57.92,115.84,115.84,55.83,111.66,111.66,65.71,131.42,131.42
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,28,days,28,days,60,69,113.75,227.51,227.51,91.86,183.72,183.72,77.46,154.93,154.93,59.32,118.64,118.64,57.23,114.46,114.46,67.36,134.71,134.71
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,29,days,29,days,60,69,117.25,234.5,234.5,93.9,187.8,187.8,79.55,159.11,159.11,60.01,120.02,120.02,57.92,115.84,115.84,68.17,136.34,136.34
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,30,days,30,days,60,69,120.03,240.06,240.06,97.3,194.59,194.59,81.65,163.3,163.3,62.11,124.22,124.22,60.01,120.02,120.02,70.63,141.26,141.26
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,31,days,31,days,60,69,123.52,247.04,247.04,99.34,198.67,198.67,83.74,167.48,167.48,63.51,127.01,127.01,61.41,122.82,122.82,72.27,144.55,144.55
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,32,days,32,days,60,69,127.01,254.03,254.03,102.74,205.48,205.48,85.84,171.68,171.68,65.61,131.21,131.21,62.11,124.22,124.22,73.1,146.2,146.2
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,33,days,33,days,60,69,129.81,259.62,259.62,104.79,209.58,209.58,87.93,175.86,175.86,66.3,132.6,132.6,64.21,128.42,128.42,75.57,151.15,151.15
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,34,days,34,days,60,69,133.29,266.59,266.59,106.82,213.64,213.64,90.03,180.06,180.06,68.39,136.78,136.78,65.61,131.21,131.21,77.22,154.43,154.43
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,35,days,35,days,60,69,136.08,272.15,272.15,110.23,220.45,220.45,92.12,184.24,184.24,69.79,139.57,139.57,66.3,132.6,132.6,78.03,156.07,156.07
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,36,days,42,days,60,69,161.91,323.82,323.82,137.44,274.89,274.89,115.85,231.71,231.71,91.42,182.84,182.84,87.93,175.86,175.86,103.49,206.98,206.98
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,43,days,49,days,60,69,177.95,355.91,355.91,149.69,299.38,299.38,131.19,262.39,262.39,99.79,199.57,199.57,97.7,195.39,195.39,114.99,229.97,229.97
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,50,days,56,days,60,69,203.78,407.57,407.57,165.34,330.69,330.69,140.96,281.92,281.92,110.27,220.53,220.53,106.08,212.15,212.15,124.85,249.7,249.7
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,57,days,63,days,60,69,214.94,429.87,429.87,174.88,349.76,349.76,153.53,307.06,307.06,122.13,244.26,244.26,117.94,235.88,235.88,138.81,277.63,277.63
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,64,days,70,days,60,69,235.18,470.36,470.36,190.52,381.04,381.04,167.49,334.99,334.99,129.81,259.62,259.62,123.52,247.04,247.04,145.38,290.75,290.75
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,71,days,77,days,60,69,258.91,517.82,517.82,196.64,393.28,393.28,184.94,369.87,369.87,143.06,286.12,286.12,137.48,274.97,274.97,161.81,323.63,323.63
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,78,days,84,days,60,69,263.09,526.18,526.18,200.73,401.46,401.46,189.13,378.25,378.25,153.53,307.06,307.06,147.25,294.5,294.5,173.31,346.61,346.61
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,85,days,91,days,60,69,265.19,530.38,530.38,202.76,405.52,405.52,191.22,382.43,382.43,159.12,318.23,318.23,151.43,302.86,302.86,178.23,356.45,356.45
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,92,days,120,days,60,69,319.63,639.25,639.25,244.95,489.89,489.89,230.99,461.98,461.98,180.05,360.11,360.11,173.07,346.14,346.14,203.7,407.39,407.39
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,121,days,150,days,60,69,372.67,745.33,745.33,284.41,568.82,568.82,265.19,530.38,530.38,209.36,418.72,418.72,200.98,401.96,401.96,236.55,473.09,473.09
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,151,days,180,days,60,69,428.49,856.97,856.97,326.6,653.2,653.2,304.97,609.94,609.94,231.69,463.39,463.39,230.99,461.98,461.98,271.87,543.74,543.74
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,181,days,210,days,60,69,486.41,972.82,972.82,371.51,743.02,743.02,348.93,697.87,697.87,275.66,551.32,551.32,263.09,526.18,526.18,309.65,619.3,619.3
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,211,days,240,days,60,69,535.96,1071.92,1071.92,408.25,816.5,816.5,383.12,766.25,766.25,303.57,607.14,607.14,291,582.01,582.01,342.5,685,685
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,241,days,270,days,60,69,589.69,1179.38,1179.38,449.07,898.15,898.15,420.82,841.64,841.64,334.98,669.96,669.96,317.54,635.07,635.07,373.73,747.46,747.46
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,271,days,300,days,60,69,639.95,1279.89,1279.89,487.86,975.73,975.73,452.23,904.46,904.46,360.8,721.6,721.6,343.35,686.7,686.7,404.11,808.22,808.22
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,301,days,330,days,60,69,689.5,1379,1379,525.28,1050.56,1050.56,487.11,974.22,974.22,390.81,781.62,781.62,372.67,745.33,745.33,438.61,877.23,877.23
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,331,days,366,days,60,69,727.88,1455.76,1455.76,556.59,1113.17,1113.17,514.33,1028.66,1028.66,413.13,826.27,826.27,394.99,789.98,789.98,464.89,929.78,929.78
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,1,days,3,days,70,74,35.04,70.09,70.09,31.24,62.47,62.47,28.04,56.08,56.08,26.03,52.06,52.06,26.03,52.06,52.06,30.64,61.28,61.28
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,4,days,4,days,70,74,48.06,96.11,96.11,41,82,82,37.04,74.09,74.09,35.04,70.09,70.09,35.04,70.09,70.09,41.25,82.49,82.49
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,5,days,5,days,70,74,60.07,120.14,120.14,50.77,101.54,101.54,46.06,92.11,92.11,45.06,90.12,90.12,38.05,76.1,76.1,44.78,89.56,89.56
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,6,days,6,days,70,74,69.09,138.19,138.19,60.52,121.05,121.05,52.06,104.13,104.13,48.06,96.11,96.11,39.04,78.09,78.09,45.95,91.9,91.9
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,7,days,7,days,70,74,78.11,156.21,156.21,67.36,134.71,134.71,60.07,120.14,120.14,51.07,102.14,102.14,42.05,84.09,84.09,49.49,98.98,98.98
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,8,days,8,days,70,74,83.11,166.22,166.22,70.29,140.58,140.58,62.08,124.16,124.16,52.06,104.13,104.13,43.05,86.1,86.1,50.67,101.34,101.34
